都道府県コード,都道府県,豚【頭】,牛合計【頭】,成牛_計【頭】,成牛_和牛_小計【頭】,成牛_和牛_めす【頭】,成牛_和牛_去勢【頭】,成牛_和牛_おす【頭】,成牛_乳牛_小計【頭】,成牛_乳牛_めす【頭】,成牛_乳牛_去勢【頭】,成牛_乳牛_おす【頭】,成牛_交雑牛_小計【頭】,成牛_交雑牛_めす【頭】,成牛_交雑牛_去勢【頭】,成牛_交雑牛_おす【頭】,成牛_その他の牛_小計【頭】,成牛_その他の牛_めす【頭】,成牛_その他の牛_去勢【頭】,成牛_その他の牛_おす【頭】,子牛【頭】,馬【頭】,豚【t】,牛合計【t】,成牛_計【t】,成牛_和牛_小計【t】,成牛_和牛_めす【t】,成牛_和牛_去勢【t】,成牛_和牛_おす【t】,成牛_乳牛_小計【t】,成牛_乳牛_めす【t】,成牛_乳牛_去勢【t】,成牛_乳牛_おす【t】,成牛_交雑牛_小計【t】,成牛_交雑牛_めす【t】,成牛_交雑牛_去勢【t】,成牛_交雑牛_おす【t】,成牛_その他の牛_小計【t】,成牛_その他の牛_めす【t】,成牛_その他の牛_去勢【t】,成牛_その他の牛_おす【t】,子牛【t】,馬【t】,枝肉総生産量【t】
1,全国,1247064,95740,95296,45855,20980,24856,19,25591,14354,11160,77,22984,11152,11830,2,866,50,811,5,444,805,97520.4,43814.3,43770,21952.9,8956.4,12989.7,6.8,9416.2,4355,5035.4,25.8,12024.1,5441.1,6582.2,0.8,376.9,24.2,350.5,2.2,44.3,335.8,141670.4
2,北海道,112256,19787,19609,1367,636,728,3,14701,7367,7321,13,3507,1236,2271,-,34,14,20,-,178,7,8778.4,8095.6,8077.8,653,271.5,380.5,1.1,5542.7,2235.1,3303.2,4.3,1866.6,603,1263.6,-,15.4,6.8,8.6,-,17.7,2.9,16876.9
3,青森県,91205,1942,1937,326,138,188,-,966,149,817,-,641,405,236,-,4,2,2,-,5,84,7132.2,902.2,901.7,157.2,58.9,98.2,-,413.8,45.2,368.6,-,328.9,197.6,131.3,-,1.8,1,0.9,-,0.5,35,8069.5
4,岩手県,28511,1376,1375,894,460,432,2,166,159,7,-,312,79,233,-,3,-,3,-,1,-,2229.6,643.8,643.7,422.8,196.4,225.8,0.7,51.4,48.2,3.2,-,168.2,38.5,129.6,-,1.3,-,1.3,-,0.1,-,2873.4
5,宮城県,25269,2001,1998,1418,536,882,-,404,284,119,1,175,68,107,-,1,-,1,-,3,-,1976,923.4,923.1,689.8,228.8,460.9,-,140.2,86.2,53.7,0.3,92.7,33.2,59.5,-,0.4,-,0.4,-,0.3,-,2899.4
6,秋田県,25710,423,423,369,99,270,-,2,2,-,-,52,46,6,-,-,-,-,-,-,20,2010.5,209.8,209.8,183.4,42.3,141.1,-,0.6,0.6,-,-,25.8,22.4,3.3,-,-,-,-,-,-,8.3,2228.6
7,山形県,30816,1476,1476,1269,1008,260,1,15,11,4,-,192,42,150,-,-,-,-,-,-,24,2409.8,675.6,675.6,566.5,430.3,135.9,0.4,5.1,3.3,1.8,-,104,20.5,83.5,-,-,-,-,-,-,10,3095.5
8,福島県,17156,293,292,254,160,94,-,8,6,2,-,30,30,-,-,-,-,-,-,1,165,1341.6,134.9,134.8,117.4,68.3,49.1,-,2.7,1.8,0.9,-,14.6,14.6,-,-,-,-,-,-,0.1,68.8,1545.3
9,茨城県,77246,4042,3948,1255,522,733,-,1833,1419,413,1,831,473,358,-,29,1,28,-,94,3,6040.6,1675,1665.7,605.9,222.8,383.1,-,617.2,430.5,186.3,0.3,430,230.8,199.2,-,12.6,0.5,12.1,-,9.4,1.3,7716.9
10,栃木県,29039,1111,1100,321,208,113,-,323,291,32,-,456,197,259,-,-,-,-,-,11,-,2270.8,491.9,490.8,147.8,88.8,59.1,-,102.7,88.3,14.4,-,240.2,96.1,144.1,-,-,-,-,-,1.1,-,2762.7
11,群馬県,54713,1412,1411,363,93,270,-,66,25,41,-,982,594,388,-,-,-,-,-,1,2,4278.6,712.7,712.6,180.8,39.7,141.1,-,26.1,7.6,18.5,-,505.7,289.8,215.9,-,-,-,-,-,0.1,0.8,4992.1
12,埼玉県,42938,3055,3042,941,381,559,1,904,854,50,-,1175,511,664,-,22,-,22,-,13,-,3357.8,1366.4,1365.1,455.1,162.6,292.1,0.4,281.7,259.1,22.6,-,618.8,249.3,369.4,-,9.5,-,9.5,-,1.3,-,4724.1
13,千葉県,60867,2170,2085,261,165,96,-,661,529,132,-,1162,656,506,-,1,1,-,-,85,-,4759.8,951.2,942.8,120.6,70.4,50.2,-,220.1,160.5,59.6,-,601.6,320.1,281.5,-,0.5,0.5,-,-,8.5,-,5711
14,東京都,14948,7791,7791,5882,2363,3519,-,33,4,29,-,1876,995,881,-,-,-,-,-,-,-,1168.9,3837.7,3837.7,2847.8,1008.8,1839,-,14.3,1.2,13.1,-,975.6,485.5,490.2,-,-,-,-,-,-,-,5006.7
15,神奈川県,43162,1318,1316,586,283,302,1,179,160,19,-,543,344,199,-,8,6,2,-,2,-,3375.3,618.6,618.4,279,120.8,157.8,0.4,57.1,48.5,8.6,-,278.6,167.8,110.7,-,3.8,2.9,0.9,-,0.2,-,3993.9
16,新潟県,32959,210,209,112,24,88,-,18,9,9,-,79,25,54,-,-,-,-,-,1,-,2577.4,105.4,105.3,56.2,10.2,46,-,6.8,2.7,4.1,-,42.2,12.2,30,-,-,-,-,-,0.1,-,2682.8
17,富山県,6749,117,117,72,18,54,-,2,-,2,-,43,28,15,-,-,-,-,-,-,-,527.8,58.8,58.8,35.9,7.7,28.2,-,0.9,-,0.9,-,22,13.7,8.3,-,-,-,-,-,-,-,586.6
18,石川県,2301,494,494,219,102,117,-,121,91,30,-,153,122,31,-,1,1,-,-,-,-,179.9,223.1,223.1,104.7,43.5,61.1,-,41.1,27.6,13.5,-,76.8,59.5,17.2,-,0.5,0.5,-,-,-,-,403
19,福井県,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,山梨県,2681,448,445,226,111,115,-,95,94,1,-,124,105,19,-,-,-,-,-,3,49,209.7,198.6,198.3,107.5,47.4,60.1,-,29,28.5,0.5,-,61.8,51.2,10.6,-,-,-,-,-,0.3,20.4,428.6
21,長野県,8408,509,509,232,74,158,-,83,83,-,-,193,103,90,-,1,1,-,-,-,5,657.5,240.2,240.2,114.2,31.6,82.6,-,25.2,25.2,-,-,100.3,50.3,50.1,-,0.5,0.5,-,-,-,2.1,899.7
22,岐阜県,6604,1342,1340,949,259,689,1,189,173,16,-,202,56,146,-,-,-,-,-,2,11,516.4,639.5,639.3,471,110.6,360.1,0.4,59.7,52.5,7.2,-,108.6,27.3,81.2,-,-,-,-,-,0.2,4.6,1160.5
23,静岡県,14977,671,671,259,204,54,1,67,5,1,61,345,150,194,1,-,-,-,-,-,-,1171.2,319.6,319.6,115.7,87.1,28.2,0.4,22.4,1.5,0.5,20.4,181.5,73.2,107.9,0.4,-,-,-,-,-,-,1490.8
24,愛知県,38744,1511,1507,429,153,276,-,209,119,90,-,869,477,392,-,-,-,-,-,4,-,3029.8,737.5,737.1,209.6,65.3,144.2,-,76.7,36.1,40.6,-,450.8,232.7,218.1,-,-,-,-,-,0.4,-,3767.3
25,三重県,13183,894,893,652,635,17,-,177,167,10,-,63,54,9,-,1,1,-,-,1,-,1030.9,367.1,367,280,271.1,8.9,-,55.2,50.7,4.5,-,31.4,26.3,5,-,0.5,0.5,-,-,0.1,-,1398
26,滋賀県,-,822,822,685,494,191,-,9,1,8,-,128,32,96,-,-,-,-,-,-,-,-,383.6,383.6,310.7,210.9,99.8,-,3.9,0.3,3.6,-,69,15.6,53.4,-,-,-,-,-,-,-,383.6
27,京都府,1613,1360,1360,1103,736,367,-,4,2,2,-,253,198,55,-,-,-,-,-,-,-,126.1,634.7,634.7,506,314.2,191.8,-,1.5,0.6,0.9,-,127.2,96.6,30.6,-,-,-,-,-,-,-,760.8
28,大阪府,1883,2522,2522,1010,469,541,-,214,40,174,-,1296,629,667,-,2,-,2,-,-,-,147.3,1252.5,1252.5,482.9,200.2,282.7,-,90.6,12.1,78.5,-,678,306.9,371.1,-,0.9,-,0.9,-,-,-,1399.7
29,兵庫県,7693,6192,6182,4302,2574,1728,-,828,398,430,-,1050,638,412,-,2,2,-,-,10,-,601.6,2859.1,2858.1,2001.9,1098.8,903.1,-,314.8,120.8,194,-,540.5,311.3,229.2,-,1,1,-,-,1,-,3460.7
30,奈良県,618,262,262,95,89,6,-,144,83,61,-,23,13,10,-,-,-,-,-,-,1,48.3,105.7,105.7,41.1,38,3.1,-,52.7,25.2,27.5,-,11.9,6.3,5.6,-,-,-,-,-,-,0.4,154.5
31,和歌山県,-,38,38,20,20,-,-,-,-,-,-,18,18,-,-,-,-,-,-,-,-,-,17.3,17.3,8.5,8.5,-,-,-,-,-,-,8.8,8.8,-,-,-,-,-,-,-,-,17.3
32,鳥取県,5968,464,464,147,36,110,1,266,77,189,-,51,17,34,-,-,-,-,-,-,-,466.7,209.1,209.1,73.2,15.4,57.5,0.4,108.6,23.4,85.3,-,27.2,8.3,18.9,-,-,-,-,-,-,-,675.8
33,島根県,7385,416,415,244,109,133,2,94,92,2,-,55,35,20,-,22,-,22,-,1,-,577.5,183.4,183.3,116.7,46.5,69.5,0.7,28.8,27.9,0.9,-,28.2,17.1,11.1,-,9.5,-,9.5,-,0.1,-,760.9
34,岡山県,5272,739,739,235,127,107,1,381,245,136,-,123,83,40,-,-,-,-,-,-,-,412.3,308.9,308.9,110.5,54.2,55.9,0.4,135.7,74.3,61.4,-,62.8,40.5,22.3,-,-,-,-,-,-,-,721.2
35,広島県,4006,1665,1663,513,246,267,-,421,244,176,1,729,414,315,-,-,-,-,-,2,-,313.3,775.8,775.6,244.6,105,139.5,-,153.8,74,79.4,0.3,377.3,202,175.3,-,-,-,-,-,0.2,-,1089.1
36,山口県,-,180,180,64,55,9,-,45,28,17,-,71,70,1,-,-,-,-,-,-,-,-,79.1,79.1,28.2,23.5,4.7,-,16.2,8.5,7.7,-,34.7,34.2,0.6,-,-,-,-,-,-,-,79.1
37,徳島県,17938,579,577,216,104,112,-,40,28,12,-,321,26,295,-,-,-,-,-,2,5,1402.8,293.9,293.7,102.9,44.4,58.5,-,13.9,8.5,5.4,-,176.8,12.7,164.1,-,-,-,-,-,0.2,2.1,1698.7
38,香川県,12830,1687,1687,410,127,283,-,301,56,245,-,976,446,530,-,-,-,-,-,-,-,1003.3,842.1,842.1,202.1,54.2,147.9,-,127.5,17,110.5,-,512.5,217.6,294.9,-,-,-,-,-,-,-,1845.4
39,愛媛県,13074,244,244,123,66,57,-,68,15,53,-,53,26,27,-,-,-,-,-,-,-,1022.4,114.1,114.1,58,28.2,29.8,-,28.5,4.6,23.9,-,27.7,12.7,15,-,-,-,-,-,-,-,1136.5
40,高知県,8026,235,235,137,70,67,-,3,3,-,-,94,16,78,-,1,-,1,-,-,9,627.6,117.4,117.4,64.9,29.9,35,-,0.9,0.9,-,-,51.2,7.8,43.4,-,0.4,-,0.4,-,-,3.8,748.8
41,福岡県,16433,4910,4910,3605,1710,1895,-,267,151,116,-,1010,422,588,-,28,2,26,-,-,85,1285.1,2363.7,2363.7,1720.3,730,990.3,-,98.2,45.8,52.3,-,533.1,205.9,327.2,-,12.2,1,11.2,-,-,35.5,3684.3
42,佐賀県,7650,386,386,370,128,242,-,7,7,-,-,9,4,5,-,-,-,-,-,-,-,598.2,188,188,181.1,54.6,126.5,-,2.1,2.1,-,-,4.7,2,2.8,-,-,-,-,-,-,-,786.2
43,長崎県,44431,1864,1860,1213,462,751,-,287,128,159,-,328,214,114,-,32,1,31,-,4,4,3474.5,882.4,882,589.7,197.2,392.5,-,110.6,38.8,71.7,-,167.8,104.4,63.4,-,13.9,0.5,13.4,-,0.4,1.7,4358.6
44,熊本県,12288,2573,2573,1695,655,1038,2,381,360,21,-,452,154,297,1,45,1,42,2,-,330,960.9,1201.8,1201.8,822.8,279.6,542.5,0.7,118.7,109.2,9.5,-,240.8,75.1,165.3,0.4,19.5,0.5,18.2,0.9,-,137.6,2300.3
45,大分県,11502,733,729,487,109,377,1,95,74,21,-,147,96,51,-,-,-,-,-,4,-,899.5,351.4,351,243.9,46.5,197,0.4,31.9,22.5,9.5,-,75.2,46.8,28.4,-,-,-,-,-,0.4,-,1250.9
46,宮崎県,75377,4361,4354,2616,1118,1498,-,245,97,148,-,946,453,493,-,547,12,535,-,7,1,5894.5,2089.4,2088.7,1260.1,477.3,782.9,-,96.2,29.4,66.8,-,495.3,221,274.3,-,237,5.8,231.2,-,0.7,0.4,7984.3
47,鹿児島県,188709,8750,8741,7581,2681,4899,1,239,194,45,-,846,352,494,-,75,2,73,-,9,-,14757,4264.3,4263.4,3705.1,1144.5,2560.2,0.4,79.2,58.9,20.3,-,446.6,171.7,274.9,-,32.5,1,31.6,-,0.9,-,19021.3
48,沖縄県,23926,365,365,328,163,164,1,30,30,-,-,-,-,-,-,7,3,1,3,-,-,1871,167.9,167.9,155.6,69.6,85.7,0.4,9.1,9.1,-,-,-,-,-,-,3.2,1.5,0.4,1.3,-,-,2038.9
